"","year","Aleutians","Bering Sea","Central Gulf of Alaska","East Yakutat/Southeast","West Yakutat","Western Gulf of Alaska"
"1",2014,0.126091519425351,0.110684955568331,0.322612676023332,0.236299399118462,0.0995179058091572,0.104793544055366
"2",2015,0.132752128562519,0.122463088083223,0.319532110348815,0.22499285267177,0.0992863892381089,0.100973431095565
"3",2016,0.154407196708173,0.132157881531042,0.290984192859461,0.21817389832202,0.102418639992814,0.10185819058649
"4",2017,0.165912434081915,0.147751618866223,0.280650217987688,0.201751373122488,0.104758506198902,0.0991758497427842
"5",2018,0.193791123238367,0.132433516979549,0.270866689264102,0.18719429395354,0.10245555817888,0.113258818385563
"6",2019,0.214691990617884,0.140498762397193,0.25913180063624,0.175797971628194,0.0998984703297192,0.109981004390769
"7",2020,0.237821856457403,0.163868991864294,0.245200070611319,0.156603572374521,0.0806189215353733,0.115886587157089
"8",2021,0.24010129933887,0.206727182753349,0.233030021702474,0.141186798274434,0.0676097052554803,0.111344992675393
"9",2022,0.246155059312249,0.243208635696896,0.211687235714976,0.128314811277323,0.058668242266724,0.111966015731833
"10",2023,0.242234588874564,0.276728992487434,0.204154115171522,0.120627257613374,0.0566438761533084,0.0996111696997964
