"","Year","AI","BS","WG","CG","EG","WY","EY_SE","Total","HAL","Trawl","Pot","Non_Comm_Catch","Percent_Trawl"
"1",1960,"0","1,861","0","0","1,193","0","0","3,100","3,100","0","0","0","0"
"2",1961,"0","15,627","0","0","451","0","0","16,100","16,100","0","0","0","0"
"3",1962,"0","25,989","0","0","390","0","0","26,400","26,400","0","0","0","0"
"4",1963,"664","13,706","266","1,324","941","0","0","16,900","10,600","6,300","0","0","37"
"5",1964,"1,541","3,545","92","955","1,140","0","0","7,300","3,300","4,000","0","0","55"
"6",1965,"1,249","4,838","764","1,449","433","0","0","8,700","900","7,800","0","0","90"
"7",1966,"1,341","9,505","1,093","2,632","1,012","0","0","15,600","3,800","11,800","0","0","76"
"8",1967,"1,652","11,698","523","1,955","3,368","0","0","19,200","3,900","15,300","0","0","80"
"9",1968,"1,673","14,374","297","1,658","12,938","0","0","31,000","11,200","19,800","0","0","64"
"10",1969,"1,673","16,009","836","4,214","14,099","0","0","36,800","15,400","21,400","0","0","58"
"11",1970,"1,248","11,737","1,566","6,703","16,604","0","0","37,800","22,700","15,100","0","0","40"
"12",1971,"2,936","15,106","2,047","6,996","16,382","0","0","43,500","22,900","20,600","0","0","47"
"13",1972,"3,531","12,758","3,857","11,599","21,320","0","0","53,000","28,500","24,500","0","0","46"
"14",1973,"2,902","5,957","3,962","9,629","14,439","0","0","36,900","23,200","13,700","0","0","37"
"15",1974,"2,477","4,258","4,207","7,590","16,006","0","0","34,600","25,500","9,100","0","0","26"
"16",1975,"1,747","2,766","4,240","6,566","14,659","0","0","29,900","23,300","6,600","0","0","22"
"17",1976,"1,659","2,923","4,837","6,479","15,782","0","0","31,700","25,400","6,300","0","0","20"
"18",1977,"1,897","2,718","2,968","4,270","9,543","0","0","21,403","18,900","2,500","0","3","12"
"19",1978,"821","1,193","1,419","3,090","3,870","0","0","10,414","9,200","1,200","0","14","12"
"20",1979,"782","1,376","999","3,189","5,391","0","0","12,031","10,400","1,500","0","131","12"
"21",1980,"275","2,205","1,450","3,027","3,461","0","0","10,584","8,400","2,000","0","184","19"
"22",1981,"533","2,605","1,595","3,425","4,425","0","0","12,838","11,000","1,600","0","238","12"
"23",1982,"964","3,238","1,489","2,885","3,457","0","0","12,348","10,200","1,800","0","348","15"
"24",1983,"684","2,712","1,496","2,970","3,818","0","0","12,082","10,200","1,600","0","282","13"
"25",1984,"1,061","3,336","1,326","3,463","4,618","0","0","14,511","10,300","3,800","0","411","26"
"26",1985,"1,551","2,454","2,152","4,209","4,098","0","0","15,076","13,000","1,500","0","576","10"
"27",1986,"3,285","4,184","4,067","9,105","8,175","0","0","29,419","21,600","7,300","0","519","25"
"28",1987,"4,112","4,904","4,141","11,505","10,500","0","0","35,666","27,600","7,600","0","466","21"
"29",1988,"3,616","4,006","3,789","14,505","12,473","0","0","39,107","29,300","9,100","0","707","23"
"30",1989,"3,704","1,516","4,533","13,224","11,852","0","0","35,564","27,500","7,300","0","764","21"
