"","lci","names"
"1",2.992585,"LMR"
"2",1.01735,"sigr"
"3",3.91269,"q1"
"4",2.84263,"q2"
"5",1.47195,"q3"
"6",6.04236,"q4"
"7",4.54152,"q5"
"8",2.867845,"q6"
"9",0.456731,"q7"
"10",0.0008733675,"q8"
"11",0.0860581,"F40"
"12",0.0981343,"M"
"13",885.6955,"Obfun"
"14",588.128,"totBio"
"15",592.921,"totBio"
"16",587.0525,"totBio"
"17",573.337,"totBio"
"18",574.473,"totBio"
"19",587.5765,"totBio"
"20",599.417,"totBio"
"21",601.4055,"totBio"
"22",600.392,"totBio"
"23",580.7045,"totBio"
"24",553.9255,"totBio"
"25",524.375,"totBio"
"26",487.9415,"totBio"
"27",442.27,"totBio"
"28",410.7115,"totBio"
"29",375.1505,"totBio"
"30",343.859,"totBio"
"31",310.2775,"totBio"
"32",290.9545,"totBio"
"33",349.5115,"totBio"
"34",374.018,"totBio"
"35",393.3605,"totBio"
"36",449.7895,"totBio"
"37",490.2635,"totBio"
"38",501.228,"totBio"
"39",505.291,"totBio"
"40",510.3595,"totBio"
"41",485.306,"totBio"
"42",446.49,"totBio"
"43",402.821,"totBio"
"44",363.4825,"totBio"
"45",340.363,"totBio"
"46",312.813,"totBio"
"47",303.3095,"totBio"
"48",280.238,"totBio"
"49",258.934,"totBio"
"50",244.4625,"totBio"
"51",241.015,"totBio"
"52",232.221,"totBio"
"53",247.815,"totBio"
"54",249.1685,"totBio"
"55",249.5955,"totBio"
"56",273.722,"totBio"
"57",276.869,"totBio"
"58",272.3215,"totBio"
"59",264.2205,"totBio"
"60",251.868,"totBio"
"61",242.066,"totBio"
"62",228.8335,"totBio"
"63",223.903,"totBio"
"64",225.1175,"totBio"
"65",221.3865,"totBio"
"66",215.8435,"totBio"
"67",203.674,"totBio"
"68",191.0595,"totBio"
"69",188.6335,"totBio"
"70",216.453,"totBio"
"71",231.4195,"totBio"
"72",305.629,"totBio"
"73",389.9545,"totBio"
"74",434.227,"totBio"
"75",506.1495,"totBio"
"76",542.706,"totBio"
"77",556.5215,"totBio"
"78",243.3245,"spbio"
"79",243.07,"spbio"
"80",236.981,"spbio"
"81",225.7145,"spbio"
"82",221.7995,"spbio"
"83",223.085,"spbio"
"84",224.725,"spbio"
"85",224.1525,"spbio"
"86",223.9655,"spbio"
"87",218.8555,"spbio"
"88",210.835,"spbio"
"89",200.8475,"spbio"
"90",188.9415,"spbio"
"91",170.3985,"spbio"
"92",157.3045,"spbio"
"93",145.3105,"spbio"
"94",134.5445,"spbio"
"95",122.3955,"spbio"
"96",114.351,"spbio"
"97",112.6635,"spbio"
"98",110.4995,"spbio"
"99",110.348,"spbio"
"100",112.8375,"spbio"
"101",120.755,"spbio"
"102",134.0145,"spbio"
"103",148.5795,"spbio"
"104",163.4895,"spbio"
"105",170.566,"spbio"
"106",169.7705,"spbio"
"107",161.81,"spbio"
"108",150.9575,"spbio"
"109",138.4985,"spbio"
"110",127.106,"spbio"
"111",116.5915,"spbio"
"112",105.555,"spbio"
"113",96.27125,"spbio"
"114",90.1605,"spbio"
"115",86.01385,"spbio"
"116",83.08955,"spbio"
"117",80.10105,"spbio"
"118",77.45175,"spbio"
"119",75.04045,"spbio"
"120",74.5857,"spbio"
"121",75.5747,"spbio"
"122",77.2499,"spbio"
"123",79.0524,"spbio"
"124",81.2719,"spbio"
"125",83.50595,"spbio"
"126",83.79265,"spbio"
"127",82.5978,"spbio"
"128",80.17455,"spbio"
"129",77.4788,"spbio"
"130",74.28,"spbio"
"131",70.88195,"spbio"
"132",68.5849,"spbio"
"133",67.2919,"spbio"
"134",66.2603,"spbio"
"135",65.62985,"spbio"
"136",65.7395,"spbio"
"137",68.05695,"spbio"
"138",74.6593,"spbio"
"139",87.10745,"spbio"
"140",104.9025,"spbio"
"141",125.887,"spbio"
"142",14.06625,"rec"
"143",14.40805,"rec"
"144",14.8448,"rec"
"145",15.5453,"rec"
"146",15.9139,"rec"
"147",16.01095,"rec"
"148",15.6788,"rec"
"149",15.22815,"rec"
"150",14.11385,"rec"
"151",13.2322,"rec"
"152",12.4805,"rec"
"153",11.46565,"rec"
"154",11.09705,"rec"
"155",10.4735,"rec"
"156",10.4732,"rec"
"157",1.66432,"rec"
"158",2.093295,"rec"
"159",1.98057,"rec"
"160",2.260755,"rec"
"161",41.97385,"rec"
"162",2.50236,"rec"
"163",2.048535,"rec"
"164",6.344855,"rec"
"165",2.314305,"rec"
"166",1.62562,"rec"
"167",2.180495,"rec"
"168",3.81587,"rec"
"169",1.88283,"rec"
"170",1.520955,"rec"
"171",1.83868,"rec"
"172",2.640545,"rec"
"173",11.6086,"rec"
"174",1.09583,"rec"
"175",15.9348,"rec"
"176",1.488145,"rec"
"177",1.44401,"rec"
"178",4.941975,"rec"
"179",10.9653,"rec"
"180",1.644085,"rec"
"181",24.9427,"rec"
"182",3.12974,"rec"
"183",2.556625,"rec"
"184",25.465,"rec"
"185",2.600345,"rec"
"186",1.878285,"rec"
"187",4.48671,"rec"
"188",1.557775,"rec"
"189",4.160305,"rec"
"190",2.55394,"rec"
"191",7.24481,"rec"
"192",10.593,"rec"
"193",2.47891,"rec"
"194",4.518675,"rec"
"195",0.9510945,"rec"
"196",1.89705,"rec"
"197",7.242455,"rec"
"198",34.84295,"rec"
"199",9.564605,"rec"
"200",68.4058,"rec"
"201",59.1208,"rec"
"202",8.596715,"rec"
"203",45.87195,"rec"
"204",8.03955,"rec"
"205",108.361,"rec"
"206",148.9485,"SSB.proj"
"207",168.68,"SSB.proj"
"208",183.122,"SSB.proj"
"209",191.454,"SSB.proj"
"210",192.3145,"SSB.proj"
"211",188.4575,"SSB.proj"
"212",179.6605,"SSB.proj"
"213",169.2615,"SSB.proj"
"214",158.3395,"SSB.proj"
"215",147.6015,"SSB.proj"
"216",136.942,"SSB.proj"
"217",128.68,"SSB.proj"
"218",121.226,"SSB.proj"
"219",114.417,"SSB.proj"
"220",108.974,"SSB.proj"
"221",36.89525,"catch.proj"
"222",36.94985,"catch.proj"
"223",36.0411,"catch.proj"
"224",34.69025,"catch.proj"
"225",32.58685,"catch.proj"
"226",30.607,"catch.proj"
"227",28.6579,"catch.proj"
"228",26.7657,"catch.proj"
"229",25.06275,"catch.proj"
"230",23.4859,"catch.proj"
"231",22.19395,"catch.proj"
"232",21.0494,"catch.proj"
"233",20.0521,"catch.proj"
"234",18.89555,"catch.proj"
