"","uci","names"
"1",3.88617,"LMR"
"2",1.44708,"sigr"
"3",7.75497,"q1"
"4",5.53214,"q2"
"5",1.47195,"q3"
"6",6.04236,"q4"
"7",4.54152,"q5"
"8",5.84442,"q6"
"9",1.121815,"q7"
"10",0.001794005,"q8"
"11",0.0860581,"F40"
"12",0.138682,"M"
"13",930.6035,"Obfun"
"14",1095.815,"totBio"
"15",1114.185,"totBio"
"16",1116.69,"totBio"
"17",1114.185,"totBio"
"18",1115.97,"totBio"
"19",1138.85,"totBio"
"20",1153.43,"totBio"
"21",1148.91,"totBio"
"22",1133.38,"totBio"
"23",1102.63,"totBio"
"24",1057.44,"totBio"
"25",1004.18,"totBio"
"26",948.2425,"totBio"
"27",877.4395,"totBio"
"28",829.2995,"totBio"
"29",763.87,"totBio"
"30",710.421,"totBio"
"31",652.7645,"totBio"
"32",615.933,"totBio"
"33",728.436,"totBio"
"34",778.615,"totBio"
"35",816.5835,"totBio"
"36",916.4395,"totBio"
"37",983.1235,"totBio"
"38",990.4595,"totBio"
"39",982.4345,"totBio"
"40",972.0475,"totBio"
"41",918.7555,"totBio"
"42",851.4865,"totBio"
"43",775.5185,"totBio"
"44",708.518,"totBio"
"45",674.1285,"totBio"
"46",618.583,"totBio"
"47",602.603,"totBio"
"48",563.7115,"totBio"
"49",518.0385,"totBio"
"50",491.5715,"totBio"
"51",486.2575,"totBio"
"52",464.8945,"totBio"
"53",499.452,"totBio"
"54",503.7945,"totBio"
"55",503.9425,"totBio"
"56",557.143,"totBio"
"57",561.7905,"totBio"
"58",550.565,"totBio"
"59",539.0995,"totBio"
"60",512.1115,"totBio"
"61",494.672,"totBio"
"62",470.3545,"totBio"
"63",459.548,"totBio"
"64",464.2225,"totBio"
"65",456.4535,"totBio"
"66",443.8635,"totBio"
"67",419.1875,"totBio"
"68",396.8815,"totBio"
"69",389.6885,"totBio"
"70",452.58,"totBio"
"71",478.5085,"totBio"
"72",644.4575,"totBio"
"73",813.3925,"totBio"
"74",906.1495,"totBio"
"75",1053.25,"totBio"
"76",1119.125,"totBio"
"77",1147.515,"totBio"
"78",411.1195,"spbio"
"79",411.0685,"spbio"
"80",404.0005,"spbio"
"81",393.0325,"spbio"
"82",388.828,"spbio"
"83",392.4245,"spbio"
"84",398.2425,"spbio"
"85",401.507,"spbio"
"86",403.5275,"spbio"
"87",399.5855,"spbio"
"88",391.63,"spbio"
"89",380.957,"spbio"
"90",363.6495,"spbio"
"91",340.9515,"spbio"
"92",321.728,"spbio"
