"","dat_type","ADMB","RTMB","Difference","Relative_Difference"
"obj.fun","jnLL",768.833,768.8349,-0.00189999999997781,-0.000247127179057273
"L.fish1age","Fixed Gear Fishery Age",46.6342,46.6359,-0.00169999999999959,-0.00364526041097007
"L.fish1sizef","Fixed Gear Fishery Length (F)",85.5605,85.5591,0.00140000000000384,0.00163629584696875
"L.fish1sizem","Fixed Gear Fishery Length (M)",91.0723,91.0725,-0.000200000000006639,-0.000219605259553256
"L.fish3sizef","Trawl Gear Fishery Length (F)",25.4633,25.4665,-0.00319999999999965,-0.0125655272613027
"L.fish3sizem","Trawl Gear Fishery Length (M)",17.907,17.9053,0.00169999999999959,0.00949439551417508
"L.surv1age","Domestic Survey LL Age",173.996,173.9936,0.00240000000002283,0.00137936107996089
"L.surv1sizef","Domestic Survey LL Length (F)",48.074,48.073,0.000999999999997669,0.00208016974184609
"L.surv1sizem","Domestic Survey LL Length (M)",34.7406,34.7405,0.00010000000000332,0.000287848476571493
"L.surv7sizef","Domestic Trawl Survey Length (F)",23.1275,23.1275,0,0
"L.surv7sizem","Domestic Trawl Survey Length (M)",17.6432,17.643,0.000199999999999534,0.00113359405996448
"L.surv2sizef","Japanese LL Survey Length (F)",27.9249,27.9254,-0.000499999999998835,-0.00179048464838045
"L.surv2sizem","Japanese LL Survey Length (M)",17.5401,17.5397,0.000399999999999068,0.0022805407161985
"Catch","Catch",3.678,3.6787,-0.000700000000000145,-0.0190284611411679
"L.surv3","Domestic LL Survey Index",33.7584,33.7602,-0.0017999999999958,-0.00533172196845933
"L.surv4","Japanese LL Survey Index",10.1599,10.1596,0.000300000000001077,0.00295287216033188
"L.surv7","Trawl Survey Index",20.5688,20.5692,-0.000399999999999068,-0.00194465511541075
"L.surv5","Domestic LL Fishery Index",13.4946,13.4938,0.000799999999999912,0.0059286487127415
"L.surv6","Japanese LL Fishery Index",24.2293,24.2298,-0.000500000000002387,-0.00206357460648618
"F.reg","FMort Penalty",6.0944,6.0941,0.000300000000000189,0.00492279417797852
"M.prior","M Prior",0.7925,0.7924,9.9999999999989e-05,0.0126198889449759
"Rec.Pen","Rec Penalty",23.2773,23.2783,-0.00100000000000122,-0.00429584634617314
